Ranking,Freq.,Characters,Syllable,Words(Explanation) / Remarks
6231,3,譾,zin2,"譾薄, 材譾, 學識譾陋淺薄"
6232,3,讎,cau4,"讎校, 報讎, 復讎, 寇讎, 反目成讎, 公報私讎"
6232,3,讎,sau4,「讎cau4」的異讀字
6233,3,貊,maak6,「貊mak6」的異讀字
6233,3,貊,mak6,一種哺乳動物
6234,3,貔,pei4,貔貅
6235,3,賕,kau4,賄賂
6236,3,贇,wan1,美好
6237,3,跣,sin2,"跣足, 披頭跣足"
6238,3,蹀,dip6,"躞蹀, 蹀血"
6239,3,蹕,bat1,"蹕路, 駐蹕, 清蹕, 犯蹕, 扈蹕, 古帝王出行時實施的交通管制"
6240,3,躒,lik1,走動
6240,3,躒,lik6,「躒lik1」的異讀字
6240,3,躒,lok3,「躒lok6」的異讀字
6240,3,躒,lok6,卓躒
6241,3,輈,zau1,車轅
6242,3,轔,leon4,形容車子行走時的聲音
6242,3,轔,leon6,輾壓、蹂躪
6243,3,逯,luk6,逯逯姓氏
6244,3,遢,taap3,邋遢
6244,3,遢,taat3,「遢taap3」的異讀字
6245,3,遹,wat6,"遹皇, 回遹"
6245,3,遹,leot6,「遹wat6」的異讀字
6245,3,遹,jyut6,「遹wat6」的異讀字
6246,3,邋,laap6,邋遢
6246,3,邋,laat6,「邋laap6」的異讀字
6246,3,邋,lip6,邋邋
6247,3,邠,ban1,邠縣(縣名)
6248,3,邴,bing2,姓氏
6249,3,邽,gwai1,下邽(陝西省地名)
6250,3,醯,hei1,"醯醬, 醯雞, 醯雞甕裡, 井蛙醯雞西醋"
6251,3,醽,ling4,醽醁(泛指美酒)
6252,3,釧,cyun1,「釧cyun3」的異讀字
6252,3,釧,cyun3,"玉釧, 金釧, 釵釧(泛指婦女的飾物)手鐲"
6253,3,釹,neoi5,一種金屬元素
6254,3,釽,pik1,(1)破裂 (2)分析
6255,3,鉭,daan3,「鉭taan2」的異讀字
6255,3,鉭,taan2,一種金屬元素，符號Ta
6256,3,鉏,ceoi4,姓氏
6256,3,鉏,zeoi6,鉏鋙(同齟齬)
6256,3,鉏,co4,同「鋤」字
6257,3,銠,lou5,一種金屬元素，符號Rh
6258,3,鉿,haa1,化學元素
6258,3,鉿,hap6,鉿匝
6259,3,錡,kei4,(1)一種煮食工具 (2)一種鑿子
6260,3,錙,zi1,"錙銖, 錙銖必較, 錙銖較量"
6261,3,錛,ban1,錛鋤
6262,3,鎏,lau4,(1)成色佳的金子 (2)現多只用於人名
6263,3,鎛,bok3,(1)古代樂器 (2)鋤一類的農具
6264,3,鏃,zuk1,「鏃zuk6」的異讀字
6264,3,鏃,zuk6,箭鏃
6265,3,鏦,cung1,"鏦鏦, 錚鏦"
6266,3,鑣,biu1,"鑣局, 保鑣, 分道揚鑣, 連鑣並軫(1)馬口中所含的鐵環 (2)一種金屬暗器，通「鏢」 "
6267,3,閎,wang4,"閎覽, 閈閎, 崇閎, 閎衍, 辯知閎達, (1)巷門 (2)宏大寬闊 (3)姓氏 "
6268,3,閿,man4,閿鄉
6269,3,闐,tin4,"闐咽, 喧闐, 闐溢, 和闐"
6270,3,闤,waan4,闤闠
6271,3,鞝,soeng5,「鞝zoeng2」的異讀字
6271,3,鞝,zoeng2,補鞋之皮
6272,3,鞫,guk1,"鞫審, 鞫訊(1)窮困 (2)審判 (3)姓 "
6273,3,韉,zin1,鞍韉馬鞍下的墊
6274,3,颺,joeng4,飄颺
6275,3,饗,hoeng2,饗客
6276,3,鬎,laat6,鬎鬁(即瘌痢)
6277,3,鬩,hik1,「鬩jik1」的異讀字
6277,3,鬩,jik1,"鬩牆, 盱鬩(皺眉), 兄弟鬩牆"
6278,3,鬮,gau1,拈鬮
6278,3,鬮,kau1,「鬮gau1」的異讀字
6279,3,鬯,coeng3,"匕鬯, 秬鬯"
6280,3,魎,loeng5,魍魎
6281,3,魘,jim2,夢魘
6281,3,魘,jip3,「魘jim2」的異讀字
6282,3,鱈,syut3,鱈魚
6283,3,鴞,hiu1,"鴟鴞, 見彈求鴞, 榮膺鴞薦"
6284,3,鴟,ci1,鴟鴞(鳥名)
6285,3,鵁,gaau1,鵁鶄
6286,3,鵒,juk6,鴝鵒
6287,3,鶂,jik1,「鶂jik6」的異讀字
6287,3,鶂,jik6,(1)水鳥名 (2)鵝叫聲
6288,3,鶿,ci4,鸕鶿
6289,3,黦,wat1,脫色
6289,3,黦,jyut3,黦顏(1)黃黑色 (2)臉色變壞
6290,3,齦,han2,咬嚙
6290,3,齦,ngan4,"牙齦, 齒齦, 齦齶, 齦溝"
6290,3,齦,hang2,「齦han2」的異讀字
6291,2,乇,zaak6,草葉
6291,2,乇,tok3,委托
6292,2,乜,mat1,粵語用字，意謂「甚麼」
6292,2,乜,me1,"乜斜, 斜乜著眼, 乜嘴"
6292,2,乜,me2,「乜me1」的異讀字
6292,2,乜,me5,「乜me1」的異讀字
6292,2,乜,ne6,姓氏
6293,2,乩,gei1,"扶乩, 乩童, 降乩, 乩壇"
6294,2,仵,ng5,"仵作, 仵匠"
6295,2,倞,ging6,強
6295,2,倞,loeng6,"天倞, 光倞"
6296,2,倷,noi6,吳方言用字，第二人稱代詞
6297,2,僰,baak6,我國古代少數民族之一
6297,2,僰,bat6,「僰baak6」的異讀字
6297,2,僰,bok3,「僰baak6」的異讀字
6298,2,儌,giu1,儌倖
6298,2,儌,giu2,「儌giu1」的異讀字
6298,2,儌,hiu1,「儌giu1」的異讀字
6299,2,儺,no4,(1)迎神賽會以樂舞驅逐疫鬼 (2)柔美的樣子
6300,2,剋,haak1,「剋hak1」的異讀字
6300,2,剋,hak1,"剋日, 剋扣, 剋星, 相生相剋"
6301,2,劬,keoi4,劬勞
6302,2,厴,jim2,(1)蟹腹下的薄殼 (2)螺類介殼口的圓片狀蓋
6303,2,叡,haai6,「叡jeoi6」的異讀字
6303,2,叡,jeoi6,同「睿」字
6304,2,呤,ling4,輕聲說話
6304,2,呤,ling5,「呤ling4」的異讀字
6305,2,哏,gan1,"逗哏, 捧哏"
6305,2,哏,han2,(1)通「很」字 (2)通「狠」字
6306,2,呲,ci1,同「齜」字
6306,2,呲,zi1,同「齜」字
6307,2,唈,jap1,"唈唈不樂, 憂唈"
6308,2,唳,lai6,狼唳「唳leoi6」的異讀字
6308,2,唳,leoi6,風聲鶴唳
6308,2,唳,lit6,「唳leoi6」的異讀字
6309,2,喎,kwaa1,「喎waa1」的異讀字
6309,2,喎,waa1,同「咼」字
6309,2,喎,wo3,粵語用字，語氣詞
6309,2,喎,wo5,粵語用字，語氣詞
6310,2,嘽,taan1,"嘽緩, 嘽嘽"
6310,2,嘽,cin2,寬舒聲
6310,2,嘽,zin2,「嘽cin2」的異讀字
6311,2,嘬,caai3,"嘬兵, 嘬炙, 嘬嚃"
6311,2,嘬,ceoi3,「嘬caai1」的異讀字
6311,2,嘬,zyut3,「嘬caai1」的異讀字，為口語讀音
6312,2,噦,wai3,噦噦輕緩有節的鳥叫聲
6312,2,噦,jyut3,「噦jyut6」的異讀字
6312,2,噦,jyut6,乾噦胃氣不順而打嗝
6313,2,嚜,maa1,助詞
6313,2,嚜,maa3,「嚜maa1」的異讀字
6313,2,嚜,maak1,商標
6313,2,嚜,mak1,同「嘜」字
6313,2,嚜,mak6,同「默」字
6314,2,垟,joeng4,方言用字
6315,2,垚,jiu4,山高
6316,2,埆,kok3,塉埆土地多石而貧瘠
6317,2,埻,zeon2,箭靶中心
6318,2,埏,saan1,「埏sin1」的異讀字
6318,2,埏,jin4,埏道
6318,2,埏,sin1,"八埏, 埏埴"
6319,2,墉,jung4,"墉城(傳說中西王母住所), 垣墉小城"
6320,2,墘,kin4,車路墘(臺灣省)
6321,2,墀,ci4,"丹墀, 庭墀, 玉墀"
6322,2,墦,faan4,墳墓
6323,2,奩,lim4,"妝奩, 奩敬"
6324,2,妣,bei2,"考妣, 先妣, 祖妣已身故的母親"
6325,2,妺,mut6,古人名用字
6326,2,姱,kwaa1,美好
6327,2,娉,ping1,娉婷
6327,2,娉,ping3,古時請媒人問女方名字和年生八字，晚近作品一概寫作「聘」
6328,2,媯,gwai1,河北省河流名
6329,2,嫖,piu1,嫖姚
6329,2,嫖,piu4,"嫖客, 嫖妓"
6330,2,嫘,leoi4,嫘祖
6331,2,嬃,seoi1,古楚國人對姊姊的稱呼
6332,2,宄,gwai2,奸宄泛指壞人，外為奸，內為宄
6333,2,寀,coi2,寮寀
6333,2,寀,coi3,「寀coi2」的異讀字
6334,2,尻,haau1,脊骨末端
6334,2,尻,hou1,「尻haau1」的異讀字
6335,2,屣,saai2,"屣履, 倒屣相迎, 棄若敝屣鞋子"
6336,2,崤,ngaau4,"崤山, 崤函之固"
6337,2,嵫,zi1,"崦嵫, 嵫釐"
6338,2,崳,jyu4,崳次(山名)
6339,2,嵽,dai3,「嵽dai6」的異讀字
6339,2,嵽,dai6,岧嵽
6339,2,嵽,dit6,嵽嵲
6340,2,嶠,giu2,「嶠giu6」的異讀字
6340,2,嶠,giu6,山道
6340,2,嶠,kiu4,山尖而高
6341,2,嶷,ji4,九嶷山
6341,2,嶷,jik6,"嶷岌, 岐嶷, 嵬嶷"
6342,2,巋,kwai1,巋然獨存
6342,2,巋,kwai2,「巋kwai1」的異讀字
6343,2,庥,jau1,(1)庇蔭 (2)保護
6344,2,弶,goeng6,捕雀工具
6344,2,弶,koeng5,「弶goeng6」的異讀字
6344,2,弶,zoeng3,「弶goeng6」的異讀字
6345,2,徯,hai4,"徯徑, 徯倖"
6345,2,徯,hai5,「徯hai4」的異讀字
6346,2,忭,bin6,"忭賀, 忭懽, 忭頌, 忭悅, 忭躍"
6347,2,怙,wu6,"怙恃, 怙寵, 失怙, 年少失怙(1)憑恃 (2)父親 "
6348,2,怍,zok6,"慚怍, 愧怍慚愧"
6349,2,悃,kwan2,"悃愊, 謝悃"
6350,2,惎,gei3,「惎gei6」的異讀字
6350,2,惎,gei6,"惎間, 惎誨"
6351,2,慊,him2,(1)「慊him3」的異讀字 (2)「慊hip3」的異讀字
6351,2,慊,him3,不滿足
6351,2,慊,hip3,滿足
6352,2,憝,deoi6,(1)怨恨 (2)壞
6353,2,懌,jik6,"懌懷, 悅懌, 不懌, 闓懌喜悅"
6354,2,懟,deoi6,"懟怒, 怨懟, 慍懟, 讎懟, 忿懟, 恚懟, 力盡則懟(穀梁傳)怨恨、埋怨"
6354,2,懟,zeoi6,「懟deoi6」的異讀字。顏師古:「懟音直類反」
6355,2,捃,gwan3,「捃kwan2」的異讀字
6355,2,捃,kwan2,捃摭
6356,2,挲,saa1,挓挲(張開的樣子)
6356,2,挲,so1,"摩挲, 挼挲"
6357,2,揃,zin1,通「箋」字
6357,2,揃,zin2,(1)剪斷 (2)分割
6358,2,搰,wat6,"搰摟, 搰搰(用力貌，見《莊子》), 狐埋狐搰(喻人疑慮過甚，反覆不定)挖掘"
6359,2,撉,dan3,「撉deon1」的異讀字
6359,2,撉,deon1,猛地往下放，著地很重
6360,2,攮,nong5,攮子
6361,2,斫,zoek3,"斫柴, 斫斬"
6362,2,旄,mou4,"旄牛, 旄丘, 旄頭, 旄鉞, 旄騎, 白旄, 羽旄, 擁旄"
6362,2,旄,mou6,同「耄」字
6363,2,旟,jyu4,古代的一種軍旗
6364,2,晞,hei1,蒸發、乾燥
6365,2,暵,hon2,「暵hon3」的異讀字
6365,2,暵,hon3,曬乾
6366,2,曄,jip6,"韡曄, 曄曄(1)光明的樣子 (2)繁盛的樣子 "
6367,2,曚,mung4,曚曨
6368,2,朏,fei2,"朏明, 朏朒, 月朏星墮"
6369,2,杌,ngat6,"杌隉, 杌子"
6370,2,柝,tok3,古打更具
6371,2,桄,gwong1,"桄榔, 門桄"
6371,2,桄,gwong3,"桄子, 線桄子"
6371,2,桄,kwong3,「桄gwong3」的異讀字
6372,2,楛,fu2,"楛僈, 楛耕傷稼"
6372,2,楛,wu6,樹名
6373,2,榾,gwat1,榾柮
6374,2,樛,gau1,"樛曲, 樛結, 樛流"
6374,2,樛,kau1,「樛gau1」的異讀字
6375,2,櫜,gou1,(1)藏兵器之用具 (2)收藏
6376,2,櫬,can3,"靈櫬, 爇櫬, 輿櫬棺材"
6377,2,歃,saap3,"歃血, 歃血為盟"
6377,2,歃,sip3,「歃saap3」的異讀字
6378,2,殤,soeng1,未成年而死
6379,2,殣,gan2,"道殣( 餓死在道旁的人), 道殣相望(1)餓死 (2)埋葬 (3)墳墓 "
6379,2,殣,gan6,「殣gan2」的異讀字
6380,2,殪,ai3,「殪ji3」的異讀字
6380,2,殪,ngai3,「殪ji3」的異讀字
6380,2,殪,ji3,摧堅殪敵(1)死亡 (2)殺戳 (3)滅絕
6381,2,殽,haau6,效法
6381,2,殽,ngaau4,"混殽不清, 混殽, 殽亂"
6382,2,氕,pit3,氫同位數之一，質量數1
6383,2,氤,jan1,"氤氳(陰陽和合、祥瑞之氣), 氤鬱"
6384,2,氾,faan3,同「泛」字
6384,2,氾,faan4,姓氏
6385,2,汫,zeng2,(1)小水貌 (2)同「阱」字
6386,2,泫,jyun5,泫然淚下
6387,2,洨,haau4,「洨ngaau4」的異讀字
6387,2,洨,ngaau4,洨河(水名)
6388,2,洭,hong1,洭水(廣東省河名)
6389,2,洿,wu1,洿池
6390,2,泚,cai2,「泚ci2」的異讀字
6390,2,泚,ci2,泚筆
6391,2,涑,cuk1,"涑水, 涑水先生(司馬光別號)山西省河流名稱"
6391,2,涑,suk1,「涑cuk1」的異讀字
6392,2,湴,baan6,深泥、爛泥
6393,2,湞,zing1,湞水
6394,2,湨,gwik1,水名
6395,2,溲,sau1,小便
6395,2,溲,sau2,「溲sau1」的異讀字
6396,2,溱,ceon4,"溱潼, 溱水(水名)"
6396,2,溱,zeon1,溱頭河
6397,2,滃,jung1,滃江(水名)
6397,2,滃,jung2,(1)大水沸的樣子 (2)雲起的樣子
6398,2,滻,caan2,"滻滻, 滻河"
6399,2,滫,sau1,「滫sau2」的異讀字
6399,2,滫,sau2,"滫瀡, 蘭芷漸滫酸臭的淘米水"
6399,2,滫,sau3,「滫sau2」的異讀字
6400,2,澠,man5,澠池
6400,2,澠,min5,「澠man5」的異讀字
6400,2,澠,sing4,山東省河流名稱
6401,2,澫,maan4,「澫maan6」的異讀字
6401,2,澫,maan6,同「漫」字
6401,2,澫,ngaau5,同「藕」字
6402,2,濠,hou4,"濠梁, 濠濮間想"
6403,2,濞,bai3,"漾濞, 澎濞, 滂濞象聲詞"
6403,2,濞,pei3,象聲詞，形容水暴至聲
6404,2,瀅,jing3,「瀅jing4」的異讀字
6404,2,瀅,jing4,水清澈的樣子
6405,2,瀧,soeng1,"瀧岡, 瀧水河川名。源出湖南省臨武縣西，流入廣東省，合於東江"
6405,2,瀧,long4,「瀧lung4」的異讀字
6405,2,瀧,lung4,"瀧夫, 瀧船(1)下雨貌 (2)湍急的河流 "
6406,2,瀼,joeng4,"甘露瀼瀼, 瀼瀼濕濕"
6406,2,瀼,joeng6,四川省河流名稱
6407,2,瀵,fan3,水自地下噴湧而出
6408,2,焌,keoi1,「焌ceot1」的異讀字
6408,2,焌,zeon3,用火燒
6408,2,焌,ceot1,(1)把燃燒物放入水中弄熄 (2)一種烹調方法
6409,2,熜,cung1,(1)微火 (2)熱氣
6409,2,熜,zung2,用麻莖捆扎成的火炬
6410,2,燊,san1,熾盛
6411,2,燠,jau1,燠咻
6411,2,燠,ou2,「燠juk1」的異讀字
6411,2,燠,ou3,極熱
6411,2,燠,juk1,燠熱
6412,2,爇,joek6,「爇jyut3」的異讀字
6412,2,爇,jyut3,爇櫬(焚燒棺材，古戰後勝方對敗方表示饒恕之舉)焚燒
6412,2,爇,jyut6,「爇jyut3」的異讀字
6413,2,爻,ngaau4,"六爻, 爻象, 爻辭"
6414,2,牁,o1,「牁go1」的異讀字
6414,2,牁,go1,"牂牁(繫舟用的木樁,漢時郡名)(1)繫舟用的木樁 (2)停泊船隻 "
6414,2,牁,ho1,「牁go1」的異讀字
6415,2,牂,zong1,"牂羊, 牂牂(枝葉茂盛貌), 牂牁(停泊船隻用以繫繩的木樁,漢時郡名)母羊"
6416,2,狃,nau2,(1)因襲 (2)拘泥
6416,2,狃,nau5,「狃nau5」的異讀字
6417,2,狨,jung4,(1)金絲猴 (2)同「絨」字
6418,2,狺,ngan4,狺狺
6419,2,獮,sin2,古稱秋天打獵
6420,2,獼,mei4,獼猴
6420,2,獼,nei4,「獼mei4」的異讀字
6421,2,玕,gon1,琅玕
6422,2,珈,gaa1,古代婦女的一種首飾
6423,2,珪,gwai1,同「圭」字
6424,2,琇,sau3,美石
6425,2,琀,ham3,琀玉古代置於死者口中的玉、貝等物
6425,2,琀,ham6,「琀ham3」的異讀字
6426,2,瑗,jyun6,大孔的璧
6427,2,瓠,wok6,瓠落
6427,2,瓠,wu4,瓠蘆
6427,2,瓠,wu6,"瓠子, 瓠果, 瓠肥, 瓠犀"
6428,2,瓻,ci1,陶制的酒壺
6429,2,瘈,gai3,「瘈zai3」的異讀字
6429,2,瘈,kai3,瘈瘲
6429,2,瘈,zai3,瘈狗(即瘋狗)
6430,2,瘭,biu1,瘭疽
6431,2,皞,hou6,明亮
6432,2,眇,miu5,眇字從目從少，指一目失明。
6433,2,眥,zaai6,"眥裂, 睚眥"
6433,2,眥,zai6,「眥zi6」的異讀字
6433,2,眥,zi6,決眥
6434,2,睇,dai6,「睇tai2」的異讀字
6434,2,睇,tai2,粵語用字
6435,2,矞,wat6,(1)以錐穿物 (2)溢出 (3)象徵祥瑞的彩雲
6435,2,矞,leot6,「矞wat6」的異讀字
6435,2,矞,jyut6,「矞wat6」的異讀字
6436,2,矧,can2,況且
6437,2,砦,zaai6,"堡砦, 城砦, 鹿砦(1)防守用的柵欄 (2)同「寨」字 (3)姓氏 "
6438,2,碭,dong6,碭山(縣名)
6439,2,礞,mung4,礞石
6440,2,祧,tiu1,"祧師, 宗祧, 承祧, 祧緒"
6441,2,禊,hai6,"禊飲, 祓禊, 秋禊, 禊帖驅除不祥的祭祀"
6442,2,禛,zan1,禛祥禛，以真受福也。(說文解字)
6443,2,穰,joeng4,(1)禾黍等植物的莖穗 (2)莊稼豐熟 (3)同「瓤」字
6443,2,穰,joeng5,「穰joeng4」的異讀字，意指繁華興盛
6443,2,穰,joeng6,「穰joeng4」的異讀字，意指繁華興盛
6444,2,笄,gai1,"笄年, 及笄(古代女子滿十五歲束髮加笄), 弱笄, 驢生笄角(喻極不可能的事)古人盤髮髻所用的簪"
6445,2,筦,gun2,(1)同「管」字 (2)姓氏
6446,2,筴,caak3,同「策」字
6446,2,筴,gaap3,"梵筴, 竹筴魚"
6447,2,篌,hau4,箜篌
6448,2,籙,luk6,"符籙, 圖籙"
6449,2,籹,neoi5,粔籹
6449,2,籹,jyu5,「籹neoi5」的異讀字
6450,2,��,zong1,同「妝」字
6451,2,糒,bei6,乾飯
6452,2,絎,hong4,縫紉針法之一
6453,2,縠,huk6,"縠紋, 波紋如縠"
6454,2,縲,leoi4,縲紲
6455,2,縩,coi3,綷縩
6456,2,繒,cang4,「繒zang1」的異讀字
6456,2,繒,zang1,絲織品總稱
6456,2,繒,zang6,緊纏
6457,2,繻,seoi1,(1)彩色的絲織品 (2)古代以割裂的繻，作為出入關隘的憑證
6457,2,繻,jyu4,同「襦」字
6458,2,纑,lou4,(1)麻線 (2)練過的麻線 (3)紵麻一類的植物
6459,2,纚,saai2,「纚lei4」的異讀字
6459,2,纚,lei4,綝纚
6459,2,纚,si2,「纚lei4」的異讀字
6460,2,缶,fau2,"擊缶, 二缶鐘惑(1)盛酒器皿 (2)古時一種一種瓦製的敲擊樂器 (3)二一四部首之一 "
6461,2,罳,si1,"罘罳, 罳頂"
6462,2,罽,gai3,"罽帳, 罽魚, 罽賓"
6463,2,胠,keoi1,胠篋
6464,2,胗,zan1,胗肝
6464,2,胗,zan2,同「疹」字
6465,2,腯,dat1,肥腯
6465,2,腯,dat6,「腯dat1」的異讀字
6465,2,腯,teon5,「腯dat1」的異讀字
6466,2,舨,baan2,舢舨
6467,2,茆,maau4,「茆maau5」的異讀字
6467,2,茆,maau5,蒪菜
6467,2,茆,lau5,「茆maau5」的異讀字
6468,2,苾,bat6,苾苾芳芳
6468,2,苾,bit1,「苾bat6」的異讀字
6468,2,苾,bit6,「苾bat6」的異讀字
6469,2,苴,caa1,(1)浮草 (2)枯草
6469,2,苴,caa4,「苴caa1」的異讀字
6469,2,苴,zaa2,土苴(糟粕)
6469,2,苴,zaa3,「苴zaa2」的異讀字
6469,2,苴,ceoi1,苴麻(植物名稱)
6469,2,苴,zeoi1,(1)鞋中草墊 (2)包裹 (3)補
6469,2,苴,zeoi2,「苴zeoi1」的異讀字
6470,2,茌,ci4,茌平縣(地名)
6471,2,菅,gaan1,草菅人命
6472,2,菔,baak6,「菔fuk6」的異讀字
6472,2,菔,fuk6,"蘆菔, 萊菔"
6473,2,菏,go1,菏水(水名)
6473,2,菏,ho4,菏澤(縣名)
6474,2,菥,sik1,菥蓂
6475,2,菘,sung1,白菜
6476,2,葎,leot6,葎草
6477,2,蓐,juk6,"坐蓐, 床蓐"
6478,2,蓰,saai2,(1)草名 (2)物數之五倍
6479,2,蕆,cin2,解決、完成
6479,2,蕆,zin2,「蕆cin2」的異讀字
6480,2,蕤,jeoi4,"蕤賓(十二音律之一；又引申指端午節), 芳蕤, 威蕤, 葳蕤(枝葉繁密)艸木花垂貌"
6480,2,蕤,jeoi6,「蕤jeoi4」的異讀字
6481,2,蕁,cam4,"蕁麻, 蕁麻疹"
6481,2,蕁,cim4,「蕁cam4」的異讀字
6482,2,藂,cung4,同「叢」字
6483,2,蛩,kung4,"吟蛩, 寒蛩蟋蟀"
6484,2,蝣,jau4,"蜉蝣, 蜉蝣在世"
6484,2,蝣,jau6,「蝣jau4」的異讀字
6485,2,蝥,maau4,斑蝥
6485,2,蝥,mau4,"蝃蝥, 蝥賊"
6486,2,螗,tong4,國事蜩螗
6487,2,蟊,maau4,蟊賊
6487,2,蟊,mau4,「蟊maau4」的異讀字
6488,2,螽,zung1,"螽斯, 阜螽"
6489,2,衩,caa3,"衩衣, 開衩"
6490,2,袺,git3,把衣襟向上提起，用以兜攬東西
6491,2,裎,cing2,「裎cing4」的異讀字
6491,2,裎,cing4,"裸裎, 袒裼裸裎(見孟子)"
6492,2,褌,gwan1,褲子
6493,2,褳,lin4,褡褳
6494,2,襁,koeng5,襁褓
6495,2,襝,lim5,襝衽
6495,2,襝,lim6,「襝lim5」的異讀字
6496,2,觚,gu1,操觚
6497,2,觭,gei1,單獨
6497,2,觭,kei1,獸角一俯一仰
6498,2,觳,kok3,儉觳
6498,2,觳,huk6,觳觫
6499,2,觿,fai1,「觿kwai4」的異讀字
6499,2,觿,kwai4,古代解結的錐子
6500,2,訇,gwang1,訇然
6501,2,訒,jan6,其言也訒言語遲緩、謹慎
6502,2,詘,wat1,"詘指, 詘寸伸尺, 充詘(得意忘形), 撙詘(謙卑)(1)彎曲 (2)言語鈍拙 (3)冤屈 (4) "
6502,2,詘,zeot1,"貶低, 同「黜」字"
6503,2,詵,saang2,粵語用字
6503,2,詵,san1,發言、詢問
6504,2,諔,cuk1,諔詭(奇異，見《莊子˙德充符》)
6505,2,諶,sam4,(1)相信 (2)真誠
6506,2,谿,kai1,同「溪」字
6507,2,賻,fu6,"賻贈, 賻儀, 賻金"
6508,2,贔,bei6,贔屭(傳說中的一種像龜的動物)
6509,2,趺,fu1,趺坐
6510,2,跗,fu1,"跗面, 跗骨"
6511,2,跬,kwai2,"跬步, 跬步千里"
6512,2,踣,baak6,跌倒
6512,2,踣,fau6,「踣baak6」的異讀字
6513,2,蹔,zaam6,同「暫」字
6514,2,躓,zi3,(1)絆倒 (2)事情不順利
6515,2,輅,lou6,(1)古車前橫木 (2)古大車
6516,2,輶,jau4,"輶車, 輶軒"
6516,2,輶,jau5,「輶jau4」的異讀字
6517,2,迓,ngaa6,迎迓
6518,2,邐,lei5,迆邐
6519,2,邘,jyu1,「邘jyu4」的異讀字
6519,2,邘,jyu4,周朝國名
6520,2,邡,fong1,什邡(四川省縣名)
6521,2,郋,hai4,里名
6522,2,鄹,zau1,鄹邑
6523,2,酢,zok6,酬酢
6523,2,酢,cou3,同「醋」字
6524,2,醅,pui1,未過濾之酒
6525,2,醑,seoi2,醑劑
6526,2,醮,ziu3,"醮壇, 打醮, 再醮, 改醮, 建醮, 齋醮, 設醮"
6527,2,醭,pok3,"白醭, 醭兒"
6527,2,醭,buk6,「醭pok3」的異讀字
6528,2,釕,liu4,「釕liu6」的異讀字
6528,2,釕,liu5,釕鈌
6528,2,釕,liu6,釕吊兒
6529,2,鈚,pai1,鈚箭
6530,2,鈿,din6,錢
6530,2,鈿,tin4,寶鈿
6531,2,鈰,si5,金屬元素
6532,2,鉺,ji5,一種金屬元素，符號Er
6533,2,鋈,juk1,(1)白銅 (2)鍍
6534,2,錆,coeng1,錆色
6535,2,錣,zeoi3,趕馬杖上端用來刺馬的鐵針
6535,2,錣,zyut3,「錣zeoi3」的異讀字
6536,2,鍆,mun4,放射性元素Md
6537,2,錤,gei1,鎡錤(大鋤)
6538,2,鍤,caap3,掘土之具
6539,2,鎲,tong2,同「钂」字，一種像叉的武器
6540,2,鏑,dik1,"鏑矢, 鏑鋒, 箭鏑金屬元素Dysprosium (Dy)"
6540,2,鏑,dik6,「鏑dik1」的異讀字，用於指謂金屬元素Dysprosium
6541,2,鏇,syun4,轆轤
6541,2,鏇,syun6,(1)迴旋著切削 (2)轉軸
6542,2,鐨,fai3,人造放射性元素
6543,2,閫,kwan2,(1)門坎 (2)婦女居住的內室
6544,2,闍,se4,"闍梨, 阿闍梨"
6544,2,闍,ze1,「闍se4」的異讀字
6544,2,闍,dou1,城門上的臺
6545,2,閽,fan1,"司閽, 叩閽"
6546,2,闉,jan1,闉闍
6547,2,阢,ngat6,阢隉
6548,2,阬,haang1,同「坑」字
6548,2,阬,gon1,大山坡
6548,2,阬,kong3,同「抗」字
6549,2,隰,zaap6,"隰草, 隰桑(詩經小雅的篇名), 皋隰, 原隰(1)低溼之地 (2)水邊 (3)新墾之地 "
6550,2,霪,jam4,"霪雨, 霪久雨也"
6551,2,靉,oi2,"靉靆, 靉靉, 氤氳靉靆(1)雲多昏暗貌 (2)不明貌 "
6551,2,靉,oi3,「靉oi2」的異讀字
6551,2,靉,ngoi2,「靉oi2」的異讀字
6551,2,靉,ngoi3,「靉oi2」的異讀字
6552,2,靸,saap3,(1)古時小孩子穿的鞋 (2)穿鞋時不提起後跟，拖著行走
6552,2,靸,taat3,「靸saap3」的異讀字
6553,2,鞬,gin1,"弓鞬, 鞬服"
6554,2,顢,mun1,「顢mun4」的異讀字
6554,2,顢,mun4,顢頇
6555,2,飧,syun1,饔飧
6556,2,餼,hei3,餼牢
6557,2,饉,gan2,"年饉, 饑饉"
6557,2,饉,gan6,「饉gan2」的異讀字
6558,2,饈,sau1,珍饈百味
6559,2,饕,tou1,"饕餮(傳說中貪食之凶獸，古青銅器上多見), 老饕(饞嘴)貪吃"
6560,2,駑,nou4,"駑鈍, 駑馬, 駑才"
6561,2,騄,luk6,騄耳(周穆王八駿之一)
6562,2,騅,zeoi1,毛色青白夾雜的馬匹
6563,2,騸,sin3,"騸馬(去過勢的馬, gelding)閹割牲畜、動物"
6564,2,驁,ngou4,(1)古樂章名 (2)駿馬
6564,2,驁,ngou6,「驁ngou4」的異讀字
6565,2,骰,tau4,"骰子, 擲骰子"
6565,2,骰,sik1,「骰tau4」的異讀字，口語讀音
6566,2,鬘,maan4,"鬘華, 鬘陀"
6567,2,鯁,gang2,"骨鯁在喉, 鯁直"
6567,2,鯁,kang2,「鯁gang2」的異讀字
6568,2,鯖,zaang1,「鯖zing1」的異讀字
